,0,1,2,3,4,5,6,7,8
pamap2_macs,58.25,299.23,221.08,87.88,105.79,226.54,190.41,87.4,12.95
pamap2_params,638.03,794.83,869.46,886.8,394.07,668.12,413.52,171.13,90.48
dsads_macs,95.51,479.29,342.98,153.32,179.26,361.74,305.28,103.8,21.36
dsads_params,736.47,1190.0,1260.0,2069.9999999999995,505.62,963.16,610.2,181.49,115.12
dg_macs,12.72,50.68,53.9,39.0,28.55,52.97,49.38,24.46,2.86
dg_params,300.1,497.86,572.48,884.8,364.87,444.87,265.03,144.39,71.01
hapt_macs,29.34,152.6,122.73,78.0,81.09,120.55,98.77,51.03,6.83
hapt_params,563.53,499.15,573.77,885.45,370.51,446.16,265.68,145.04,71.66
motionsense_macs,38.98,201.48,155.51,81.29,105.31,155.62,129.32,51.0,8.84
motionsense_params,587.33,596.68,671.3,885.38,387.91,519.11,314.44,143.78,77.42
skoda_macs,96.79,494.74,352.21,101.04,142.7,371.49,312.6,106.39,21.53
skoda_params,735.31,1190.0,1260.0,887.56,512.84,962.0,609.61,180.91,114.54
mhealth_macs,58.25,299.23,221.08,87.88,117.77,226.53,190.41,87.39,12.95
mhealth_params,637.26,794.06,868.68,886.41,390.99,667.34,413.13,170.74,90.09
