,type,in_size,out_size,ops,params
model.fe.conv1,Conv2d,"(1, 1, 128, 12)","(64, 124, 12)",571392,384
model.fe.conv2,Conv2d,"(1, 64, 124, 12)","(64, 120, 12)",29583360,20544
model.fe.conv3,Conv2d,"(1, 64, 120, 12)","(64, 116, 12)",28597248,20544
model.fe.conv4,Conv2d,"(1, 64, 116, 12)","(64, 112, 12)",27611136,20544
model.fe.activation,ReLU,"(1, 64, 112, 12)","(64, 112, 12)",0,0
model.fe.dropout,Dropout,"(112, 1, 768)","(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768)",0,0
model.fe.rnn,GRU,,,,
model.fe.ta.fc,Linear,"(112, 1, 128)","(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1),(1, 1)",28672,129
model.fe.ta.sm,Softmax,,,,
model.fe.sa.query,Conv1d,"(1, 64, 12)","(64, 12)",5505024,4096
model.fe.sa.key,Conv1d,"(1, 64, 12)","(64, 12)",5505024,4096
model.fe.sa.value,Conv1d,"(1, 64, 12)","(64, 12)",5505024,4096
model.dropout,Dropout,"(1, 128)","(128,)",0,0
model.classifier.fc,Linear,"(1, 128)","(12,)",3072,1548
